ticker,name,sector,score,classification,roic,revenue_cagr_3yr,gross_margin,operating_margin,net_debt_to_ebitda,fcf_margin,dcf_upside_pct,current_price,dcf_intrinsic_value,shares_outstanding,red_flag_count,bottom_line,run_date
MMM,3M Company,Industrials,65.8,Attractive Quality,0.3561417299101791,-0.01570080136859997,0.39911014911014914,0.19203944203944204,1.1391680841193752,0.05595638928972262,-0.8770822176858023,153.13,18.822400005773083,521567261.0,1,Attractive Quality / DCF: overvalued,2026-05-31
AOS,A.O. Smith Corporation,Industrials,82.8,Elite Compounder,0.2962040141098149,0.006729784443180398,0.38833481280350896,0.19006840373870817,0.021629593216173037,0.1425513028040311,0.5381513134429732,56.72,87.24394249848544,111965465.0,0,Elite Compounder / DCF: undervalued,2026-05-31
ABT,Abbott Laboratories,Healthcare,66.0,Attractive Quality,0.12513024044460547,0.005127944169646348,0.5641806533116765,0.18166847139505504,0.4420703933747412,0.1668245804006497,-0.10709499965434854,85.6,76.43266802958776,1741813154.0,0,Attractive Quality / DCF: fair,2026-05-31
ABBV,AbbVie Inc.,Healthcare,57.2,Neutral — Monitor,0.13079889699012812,0.017525049181538188,0.7023544800523218,0.32849901896664485,3.5320778263089228,0.29130150425114454,0.23135880761203914,217.72,268.09143959329316,1766792821.0,1,Neutral — Monitor / DCF: undervalued,2026-05-31
ACN,Accenture plc,Technology,76.5,Attractive Quality,0.29677907871954545,0.04193654176414818,0.31913952808418106,0.15559817402376822,-0.2699453116879958,0.15607715456166024,0.6072268505083297,187.07,300.6639269245932,613939268.0,0,Attractive Quality / DCF: undervalued,2026-05-31
ADBE,Adobe Inc.,Technology,88.8,Elite Compounder,0.5607519495612048,0.10522339932516123,0.8926753334174765,0.36627540073204595,0.1239938869077942,0.41448946106272877,0.5585141110351074,259.21,403.98244272141017,404200000.0,1,Elite Compounder / DCF: undervalued,2026-05-31
AMD,"Advanced Micro Devices, Inc.",Technology,70.6,Attractive Quality,0.05940421699654524,0.13643599335368428,0.4951644100580271,0.10664280146655504,-0.23257731958762887,0.19443401945783653,-0.8669509003696975,516.1,68.66664031919913,1630600639.0,2,Attractive Quality / DCF: overvalued,2026-05-31
AES,The AES Corporation,Utilities,33.4,Disqualified,0.027294493216280927,-0.010249740650209005,0.1807406196354124,0.16103981034905585,9.702279686968357,-0.1326739148205673,,14.67,,713157713.0,6,Disqualified / DCF: unknown,2026-05-31
A,"Agilent Technologies, Inc.",Healthcare,65.6,Attractive Quality,0.1634801197333131,0.004844098070605929,0.5243235463442717,0.21286701208981001,0.8528610354223434,0.16580310880829016,-0.659296388546493,135.53,46.17556046029381,282218158.0,0,Attractive Quality / DCF: overvalued,2026-05-31
APD,"Air Products and Chemicals, Inc",Basic Materials,26.4,Disqualified,-0.00580673585624253,-0.01766923192508929,0.3141319066568084,0.24000398760519387,12.373981308411215,-0.31284424247962583,,278.62,,222680686.0,6,Disqualified / DCF: unknown,2026-05-31
ABNB,"Airbnb, Inc.",Consumer Cyclical,49.0,Fails Quality Screen,0.5475856193643155,0.13378255972989694,0.8295890858589985,0.20782615799362797,-1.7221157531621312,0.37954415488930643,0.7660702505624926,133.31,235.4348251024859,417930233.0,3,Fails Quality Screen / DCF: undervalued,2026-05-31
AKAM,"Akamai Technologies, Inc.",Technology,43.8,Fails Quality Screen,0.053545649561064855,0.05178977181914113,0.589486416320614,0.14929084460603467,3.53647742728848,0.16616823207209777,-0.0926774773763219,149.54,135.68101003314482,145385451.0,4,Fails Quality Screen / DCF: fair,2026-05-31
ALB,Albemarle Corporation,Basic Materials,16.4,Disqualified,-0.018431405951561786,-0.11101948515436078,0.13003183326841972,0.013083510265845028,5.341664120971437,0.13464941695398147,-0.755981887465212,176.42,43.0496754133873,117934651.0,7,Disqualified / DCF: overvalued,2026-05-31
ARE,Alexandria Real Estate Equities,Real Estate,33.3,Disqualified,-0.028253707286577112,0.04564958075072889,0.686740176729736,0.18845908986732537,37.844834158178045,0.48012291289991255,4.351774370919459,49.68,265.87615074727876,174269480.0,6,Disqualified / DCF: undervalued,2026-05-31
ALGN,"Align Technology, Inc.",Healthcare,49.0,Fails Quality Screen,0.132183214902098,0.026117671821406674,0.6718803439138491,0.1450597824416773,-1.1916931936549147,0.1216313206264046,-0.34947970211443186,174.95,113.80852611508014,71618127.0,3,Fails Quality Screen / DCF: overvalued,2026-05-31
ALLE,Allegion plc,Industrials,79.7,Attractive Quality,0.20382894327746448,0.07523170466176188,0.4519705947434416,0.21131954859489097,1.6196888090963495,0.16858849851252675,0.7694291343850556,130.07,230.14964750946416,85935861.0,0,Attractive Quality / DCF: undervalued,2026-05-31
LNT,Alliant Energy Corporation,Utilities,49.0,Fails Quality Screen,0.05375643962092411,0.012293745856755134,0.45667125171939477,0.23498395231545163,5.800301053687908,0.2679963319578175,2.895763905693402,71.61,278.9756532867045,258277037.0,3,Fails Quality Screen / DCF: undervalued,2026-05-31
